Column1,link,text,date,NoOfComments,NoOfRetweets,NoOfQuotes,NoOfLikes,LinkToPicture
393,https://twitter.com/RONBupdates/status/1743110688284037478#m,Good News: ?????? ?????? ?????? ?????????? ?? ???? ???? ?????? ?? ???? ??? ???? ????? ??? ??????? ????? ??? ??????? ?? ????????? ??????? ??? ??????? ????????? ???? ????? ?????? ?? ????????? ???????? ???? ????? ?????? ???? ????????? ????? ? ??? ???????? ??????? ?????? ??? ?? ????? ????? ?????? ????? ?? ??,"Jan 5, 2024 · 3:22 AM UTC",9,5,0,230,['https://pbs.twimg.com/media/GDDF7ZnXUAAcajo.jpg']
394,https://twitter.com/RONBupdates/status/1743102743814832531#m,?????? ??????? ????: APF le 99 jana Inspector ra 98 jana Assistant Inspector (ASI) post sahit 288 ota post ko lagi vacancy khulako cha. ??,"Jan 5, 2024 · 2:50 AM UTC",4,5,1,119,[]
395,https://twitter.com/RONBupdates/status/1743095127940419937#m,"Trending movie 12th Fail becomes one of the high rated Indian movie in 2023, according to IMDb. ??","Jan 5, 2024 · 2:20 AM UTC",5,13,1,690,['https://pbs.twimg.com/media/GDC3xqLaAAAmbQc.jpg']
396,https://twitter.com/RONBupdates/status/1743083231346602012#m,???? ?????? ?? ?? ???? ????? ????? ????: Friday Morning & statue of Hanuman Ji at Baglung Kalika Temple. ????   Pic. Nishan Paudel,"Jan 5, 2024 · 1:33 AM UTC",4,18,0,760,['https://pbs.twimg.com/media/GDCs9F2aMAAuWhe.jpg']
397,https://twitter.com/RONBupdates/status/1742947472736211441#m,"??????? ????????? ? ???? ???? ??? ?????? ???????, ?????? ????????? ????? ???? ???????????? ??????? ??? ?????? ??????","Jan 4, 2024 · 4:33 PM UTC",2,12,2,103,[]
398,https://twitter.com/RONBupdates/status/1742938645454348706#m,"???????? ?????? ? ???????? ???????: Beautiful Night view of Ghantaghar, Birgunj. ??   Pic. Niraj Patel (??????)","Jan 4, 2024 · 3:58 PM UTC",2,7,0,196,['https://pbs.twimg.com/media/GDApdH_boAAyc96.jpg']
399,https://twitter.com/RONBupdates/status/1742930593439248511#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 4, 2024 · 3:26 PM UTC",1,0,0,36,['https://pbs.twimg.com/media/GDAiIUZb0AAPNbO.jpg']
400,https://twitter.com/RONBupdates/status/1742927756760154397#m,Important Info: ??????? ?????? ??????? ?????? ??? ? ????????? ???? ??? ????? ????????? ???? ???????? ????? ???? ?!,"Jan 4, 2024 · 3:15 PM UTC",1,0,0,50,[]
401,https://twitter.com/RONBupdates/status/1742923341156294918#m,Just In: CAN has announced a 15-Men Squad for the upcoming ICC U-19 Cricket World cup which will be held in South Africa.   Squad:  Dev Khanal (Captain) Arjun Kumal Aakash Tripathi Dipak Dumre Durgesh Gupta Gulshan Jha Dipesh Kandel Bishal Bikram KC Subash Bhandari Deepak Bohara Dipak Bohara Uttam Thapa Magar Bipin Rawal Tilak Raj Bhandari Akash Chand,"Jan 4, 2024 · 2:58 PM UTC",0,3,0,73,['https://pbs.twimg.com/media/GDAbiMDaAAAZGCh.jpg']
402,https://twitter.com/RONBupdates/status/1742915468644802667#m,Reminder: Quadrantid Meteor shower is happening tonight & it will be visible after 11:30 tonight till early morning.  ????? ???? ????? ??? ?? ????,"Jan 4, 2024 · 2:26 PM UTC",6,8,3,183,['https://pbs.twimg.com/media/GDAUX_raIAAFv4o.jpg']
403,https://twitter.com/RONBupdates/status/1742908407290724560#m,"?????? ????????? ???? ??????? ???? ? ??? ???????????? ????, ?????? ????? *????????? ????????? ???? ??????? ???????? ????????? ??????? ?????? ????? ?????? ??????? ????? ??? ? ???? ???????? ???????? ???? ????? ? ?  File Pic. Suraj Dhami","Jan 4, 2024 · 1:58 PM UTC",24,26,5,449,['https://pbs.twimg.com/media/GDAHQU8W8AAft27.jpg']
404,https://twitter.com/RONBupdates/status/1742890617620107383#m,Big news: Rautahat ma 18 lakh barabar ko Nakkali note sahit ek jana lai Pakrau gariyeko cha.   Ahile dherai thau ma Nakkali Note haru samatiyeka chhan.,"Jan 4, 2024 · 12:47 PM UTC",5,3,0,108,[]
405,https://twitter.com/RONBupdates/status/1742859675211825578#m,"? ??? ?? ? ? ????? ???? ???? ?????? ?????? ?????? ?? ?????? ???? ??????  ????? ?? ???? ???? ????? ?????? ???, ???? ??????? ??????? ????? ???? ??????  ????? ???? ????? ????? ????? ???, ?????? ?? ????? ????? ?? ???? ??????  ?? ????? ??????? ???? ????? ????? ????, ? ???? ???? ?? ?????? ????? ??????  - ?????? ????","Jan 4, 2024 · 10:45 AM UTC",1,11,0,73,['https://pbs.twimg.com/media/GC_hogsWAAADjnd.jpg']
406,https://twitter.com/RONBupdates/status/1742849486937059515#m,?????? ???? ?????? ???? ???? ????? ????? ???? ??????? ???? ????? ??????...  Gurans Himalaya range ?????? #Heaven  Pic. Ashish Paudel,"Jan 4, 2024 · 10:04 AM UTC",4,8,1,171,['https://pbs.twimg.com/media/GC_YXcwWAAAIJNM.jpg']
407,https://twitter.com/RONBupdates/status/1742824625112039907#m,"CAN announces the Cricket Calendar 2024 of Nepal including Men's & Women's Int'l matches, domestic tournaments for age level, Nepal A team matches, Nepal Premier League and so on. ??????","Jan 4, 2024 · 8:25 AM UTC",2,8,0,167,['https://pbs.twimg.com/media/GC_BwV8WEAAZ5Sq.jpg']
408,https://twitter.com/RONBupdates/status/1742798308975030422#m,?????? ?????: Nepali Students in Finland made their Childhood Love 'Moomin' from Snow. ??  Do you know: Moomin was created by writer Tove Jansson of Finland.   Pic. Rohit Pariyar,"Jan 4, 2024 · 6:41 AM UTC",4,8,0,277,['https://pbs.twimg.com/media/GC-p0fIXIAAtbOP.jpg']
409,https://twitter.com/RONBupdates/status/1742788855932354948#m,???? ?????? ? ?????? ?????? ???: Sujan Rawat's mother is informed about the death of his son after 3 days of the incident. He studied Civil Overseer but due to lack of enough job possibilities he wanted to go abroad. His father who was the family's support system is also dead and Sujan had the responsibility of paying the debt and fulfilling other family needs.,"Jan 4, 2024 · 6:03 AM UTC",2,8,3,107,['https://pbs.twimg.com/media/GC-hOSTXkAA1A9K.jpg']
410,https://twitter.com/RONBupdates/status/1742763484784517435#m,?????? ????? ??????? ???????: Indian Foreign Minister S. Jaishankar has arrived in Nepal for an official visit.,"Jan 4, 2024 · 4:22 AM UTC",3,1,2,90,['https://pbs.twimg.com/media/GC-KJMpbkAESsFD.jpg']
411,https://twitter.com/RONBupdates/status/1742762094846681528#m,???? ?? ?? ????? ????? ????? ????: Quadrantid Meteor shower is happening today which is visible through the naked eyes from Nepal tonight. ??,"Jan 4, 2024 · 4:17 AM UTC",12,14,1,268,['https://pbs.twimg.com/media/GC-I4kDa8AAyCP2.jpg']
412,https://twitter.com/RONBupdates/status/1742756197319762227#m,"??????? ??? ????? ?????? ? ????????? ?????????: ?? ???? ??? ?????? ? ???? ????? ?????? ??????? ???????? ???? ????? ?????? ?? ?????? ???????????? ????? ???????? ??????? ?????? ????? ?? ????????? ??????? ??? ????? ?????? ????????? ???? ????? ????  ???? ????? ????? ???????? ??????, ""? ???????? ?? ??????????? ????? ???? ???? ?????????? ?? ??????? ????? ???? ?????? ??? ??? ?????? ?????? ????? ????????? ?????????? ?? ??????? ?? ? ??? ?? ???? ???? ???? ????, ? ??? ??????? ? ??????? ?? ????? ? ??? ?? ???? ??????? ?????? ???????? ????????? ?????????? ??""","Jan 4, 2024 · 3:53 AM UTC",6,8,2,110,['https://pbs.twimg.com/media/GC-DhTdXAAAwHSO.jpg']
413,https://twitter.com/RONBupdates/status/1742741471483060679#m,"???? ? ??????? ????? ????: Nabila Islam takes her husband for his first ever job in USA after the struggles of around 3.5 Yrs. Like Shraddha supports Manoj through all the difficulties and failures in life, Nabila was also the strength of her husband in life's ups and downs and says, ""Sometimes you don't marry the King, you have to make a king by being his support system."" ??","Jan 4, 2024 · 2:55 AM UTC",14,6,5,242,['https://pbs.twimg.com/media/GC92IOoXkAEFYaq.jpg']
414,https://twitter.com/RONBupdates/status/1742741267962806732#m,Social media ma fake account banaune/chalaune lai aba NRs. 5 Lakhs samma Fine huney rule Nepal Government le banaune tayari gardai cha.,"Jan 4, 2024 · 2:54 AM UTC",22,6,29,133,[]
415,https://twitter.com/RONBupdates/status/1742732039684772244#m,"Wow...Bangkok becomes the most visited city of the world in 2023, according to Travelness. ??","Jan 4, 2024 · 2:17 AM UTC",2,2,1,129,['https://pbs.twimg.com/media/GC9tjERa8AAxCi3.jpg']
416,https://twitter.com/RONBupdates/status/1742725533883097175#m,Thursday Morning & Statue of Saraswati Mata at Kathmandu. ????     Pic. @nishan_Paudel14,"Jan 4, 2024 · 1:52 AM UTC",0,12,0,592,['https://pbs.twimg.com/media/GC9nnmaW4AA6vhS.jpg']
417,https://twitter.com/RONBupdates/status/1742582129148690524#m,?????? ???? ???? ??? ???? ?????? ????? ???,"Jan 3, 2024 · 4:22 PM UTC",3,5,0,74,[]
418,https://twitter.com/RONBupdates/status/1742574577908334736#m,Beautiful evening view of Janaki temple at Janakpur. ??  Pic. _shutterupp__,"Jan 3, 2024 · 3:52 PM UTC",3,8,0,397,['https://pbs.twimg.com/media/GC7eVtjbkAAYMGR.jpg']
419,https://twitter.com/RONBupdates/status/1742566598517641317#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 3, 2024 · 3:20 PM UTC",1,1,0,47,['https://pbs.twimg.com/media/GC7XFJWb0AAKXD1.jpg']
420,https://twitter.com/RONBupdates/status/1742557648069800197#m,"Good Day for Bowlers & Drama: From 153/4 to 153/10, India is all-out against South Africa in ongoing Test Match in 1st Inning. Earlier, South Africa managed to score only 55 runs in their 1st inning. ??  In Pic. Virat Kohli, highest run scorer in 1st Inning.","Jan 3, 2024 · 2:44 PM UTC",1,3,0,77,['https://pbs.twimg.com/media/GC7O8EaXIAAFUfk.jpg']
421,https://twitter.com/RONBupdates/status/1742549850464415912#m,"Finally, Melamchi Drinking Water is expected to come in Kathmandu again from 1st week of Magh, if everything goes as per plan.  Pic. Devraj Subedi","Jan 3, 2024 · 2:13 PM UTC",1,2,0,160,['https://pbs.twimg.com/media/GC7H2OhWUAEbl7D.jpg']
422,https://twitter.com/RONBupdates/status/1742539589821305169#m,????? ??? ??????? ??????? ????? ?????: ??? ??????? ?????? ?????? ?????? Mohammed Al-Mojil Group Company ?? ????? ??? ????? ?????????? ??? ???? ???? ? ? ????? ??????? ???? ?? ???????? ?????? ?????? ????? ??? ??? ??????? ???? ?  Representative Pic.,"Jan 3, 2024 · 1:33 PM UTC",2,35,0,252,['https://pbs.twimg.com/media/GC6-hBdW8AAvz9c.jpg']
423,https://twitter.com/RONBupdates/status/1742528605635424674#m,"???? ???? ????? ?????? ????? ?????? ???? ??? ???? ???  ?????? ??? ?????? ????? ?????? ???? ???? ???? ????????... ??,  ???? ????????? ?????? ????  ???? ???? ??? , ????? ???? ???  ??? ???? ???? ????? ???? ????? ??????? ?????? ??? ????????? ,  ???? ??? ??????? ???? ???? ????? ???, ??????? ??????? ????????? ??? ?????? ??? ?? ? ???? ??? ??  -Rabin Sapkota","Jan 3, 2024 · 12:49 PM UTC",5,20,0,231,['https://pbs.twimg.com/media/GC60hoCXUAAdP2_.jpg']
424,https://twitter.com/RONBupdates/status/1742520392206749977#m,????? ???? ???? ???????? ?????? ??????? ?????? ?? ?????? ????????? ?????? ??? ??? ???????? ????? ???? ???????? ??,"Jan 3, 2024 · 12:16 PM UTC",2,0,0,38,[]
425,https://twitter.com/RONBupdates/status/1742504307969445974#m,Pencil Sketch of Vikrant Massey aka 'Manoj' of 12th Fail Movie by Charlie Baniya. ??,"Jan 3, 2024 · 11:12 AM UTC",4,3,0,332,['https://pbs.twimg.com/media/GC6ebb9WEAAw1kw.jpg']
426,https://twitter.com/RONBupdates/status/1742500831327629641#m,"J? s?u?k?a?i? g?a?r? , ???? ???? ???? ???: After Messenger, People on Instagram can also edit their messages up to 15 minutes after sending.","Jan 3, 2024 · 10:59 AM UTC",5,1,0,84,['https://pbs.twimg.com/media/GC6bRD4XcAAllZY.jpg']
427,https://twitter.com/RONBupdates/status/1742488741162127535#m,Social Media ma kt ko fake id banai afno sathi haru lai video call ma offensive videos dekhai blackmail garera paisa magne 3 jana Male lai Kaski Police le arrest gareko cha.,"Jan 3, 2024 · 10:11 AM UTC",1,0,0,42,[]
428,https://twitter.com/RONBupdates/status/1742467484211622356#m,Australian Cricketer David Warner receives a guard of honour from Pakistan when he makes his way to the pitch in his last test match of cricket career. ??,"Jan 3, 2024 · 8:46 AM UTC",1,5,1,196,['https://pbs.twimg.com/media/GC5878RW4AAB4r6.jpg']
429,https://twitter.com/RONBupdates/status/1742448745609089303#m,?????? ????? ???????: Seasonal fruit Orange in the farm. ??  Pic. Chandan KC,"Jan 3, 2024 · 7:32 AM UTC",1,8,0,245,['https://pbs.twimg.com/media/GC5r5KaXcAADe-f.jpg']
430,https://twitter.com/RONBupdates/status/1742413425945546876#m,No Corruption: ?????????? ?????????????? ?? ?????????? ????? ?????? ??? ?????? ???? ?????? ??????? ???? ?????? ? ??? ??????????? ???? ??????? ??????? ????? ??? ?  File Pic. Binay Shakya,"Jan 3, 2024 · 5:11 AM UTC",26,78,7,1623,['https://pbs.twimg.com/media/GC5Lxb9a8AAOxht.jpg']
431,https://twitter.com/RONBupdates/status/1742396438607442257#m,???? ???? ? ???????: Real Life Manoj Sharma & Shraddha on whom the movie 12th Fail is made. The film was made after Vidhu Vinod Chopra was impressed by reading the book version.,"Jan 3, 2024 · 4:04 AM UTC",3,4,2,223,['https://pbs.twimg.com/media/GC48UWkaUAAb0Yc.jpg']
432,https://twitter.com/RONBupdates/status/1742386348005421322#m,"Inspiration: He is Debendra Shrestha who wakes up everyday around 5 AM and regularly cleans Bargachhi area of Urlabari, Morang & he is doing this since 12 years. He says ,"" ??? ????? ????? ????? ??? ?????????, ??????????? ?????? ????? ???? ????????? ? ?????? ????? ???? ??????? ????? ??? ?????, ??????? ???? ?? ???? ???? ??? ??????? ? ""  He was recently recognized by Urlabari Municipality for his work.","Jan 3, 2024 · 3:24 AM UTC",1,20,2,420,['https://pbs.twimg.com/media/GC4zI52boAAMEQ-.jpg']
433,https://twitter.com/RONBupdates/status/1742374373863141677#m,First in Nepal: Deepu Jwarchan becomes the first Nepali pilot to get the Licence of Airbus Check Pilot in Nepal. Now a Nepali Pilot can take exam of New Pilots for Airbus A320. ?? #Congratulations #achievement,"Jan 3, 2024 · 2:36 AM UTC",5,3,1,264,['https://pbs.twimg.com/media/GC4oP90a8AAQqfp.jpg']
434,https://twitter.com/RONBupdates/status/1742367091347612127#m,Berojgar Yuwa harulai Bidesh pathaidinchu vanne Sapana dekhayera total 10 Crore vanda dherai thagi ( ???) garne 47 Yrs Old Male lai Police le Lalitpur bata arrest gareko cha.,"Jan 3, 2024 · 2:07 AM UTC",0,1,0,70,[]
435,https://twitter.com/RONBupdates/status/1742361372321878155#m,"Do You know our hero: In the Interview Scene of 12th Fail Movie, Manoj Sharma talks about Ang Rita Sherpa who climbed Mt. Everest Without Oxygen Support 10 times and praises the Sherpa who did a more difficult thing than climbing the Everest. #12thfail","Jan 3, 2024 · 1:44 AM UTC",9,27,1,650,['https://pbs.twimg.com/media/GC4cbEsaEAAdwJ1.jpg']
436,https://twitter.com/RONBupdates/status/1742352405021565254#m,Wednesday Morning & Gahawa Mata at Birgunj. ????,"Jan 3, 2024 · 1:09 AM UTC",0,5,0,213,['https://pbs.twimg.com/media/GC4UROUbUAAfA_Q.jpg']
437,https://twitter.com/RONBupdates/status/1742231577948750025#m,????? ????????? ? ?????????? ???? ??? ??????? ??????? ???? ???????? ???? ???????????? ??? ????????????,"Jan 2, 2024 · 5:09 PM UTC",7,42,4,303,[]
438,https://twitter.com/RONBupdates/status/1742205538623267261#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 2, 2024 · 3:25 PM UTC",0,0,0,36,['https://pbs.twimg.com/media/GC2OsolWwAAPAM9.jpg']
439,https://twitter.com/RONBupdates/status/1742192830251237451#m,"Yesterday Earthquake, Today Plane incident: Back to back tragic incidents in Japan, Stay strong we can feel this situation. ??","Jan 2, 2024 · 2:35 PM UTC",8,8,0,246,['https://pbs.twimg.com/media/GC2DI7GWgAAnZhS.jpg']
440,https://twitter.com/RONBupdates/status/1742190271730004276#m,??? ??????-???? ?? ?????...One of the most loved place during winter season ? How many of you love to be near the fire & have some conversations with the family? #VillageLife  Pic. @ganeshrijall,"Jan 2, 2024 · 2:25 PM UTC",3,7,1,94,['https://pbs.twimg.com/media/GC2Az7qXsAAA8Dv.jpg']
441,https://twitter.com/RONBupdates/status/1742184172607979895#m,"Good Step: ????? ???????????????? ????? ??? ? ??? ???? ?????, ?????, ????, ?????? ????? ?????????? ?????? ?????? ????? ????? ?????? ????? ? ? ??","Jan 2, 2024 · 2:00 PM UTC",3,16,1,397,['https://pbs.twimg.com/media/GC17QuEW4AAKSu5.jpg']
442,https://twitter.com/RONBupdates/status/1742172213816725807#m,Nepali Congress has officially appreciated Foreign Minister NP Saud for his work during bringing Nepalis from Israel safely through Party's official memo.  P.S. ???? ?? ???????? ?????? ??? ????? ?????????? ????? ? ??? ????????? ???? ?????? ????? ?????? ????? ?,"Jan 2, 2024 · 1:13 PM UTC",4,11,1,104,['https://pbs.twimg.com/media/GC1wYwlWIAAvFQC.jpg']
443,https://twitter.com/RONBupdates/status/1742160049039180036#m,"Good News for Cricket Fans: CAN has announced to reveal its cricket calendar for 2024 on January 4. Hope, it will mention quality domestic - Int'l matches for all category teams. ????","Jan 2, 2024 · 12:24 PM UTC",3,7,0,137,['https://pbs.twimg.com/media/GC1lUquWcAApdF8.jpg']
444,https://twitter.com/RONBupdates/status/1742144802081177923#m,????????? ??????? ???????????? ???????? ??????? ???? ????????????? ??????? ???? ????? ???????????? ??? ?? ??? ????????? ???? ???? ?????? ????? ??,"Jan 2, 2024 · 11:24 AM UTC",11,0,2,67,['https://pbs.twimg.com/media/GC1XdcJXEAA9DS9.jpg']
445,https://twitter.com/RONBupdates/status/1742128500906274828#m,Just In: A Japan Airlines plane has caught fire at the runway of Tokyo's Haneda Airport. However all 379 passengers and crew on board are evacuated.,"Jan 2, 2024 · 10:19 AM UTC",3,3,0,168,['https://pbs.twimg.com/media/GC1IooPWkAAWRdu.jpg']
446,https://twitter.com/RONBupdates/status/1742098408360559033#m,????????? ??????????? ?????? ???? ????????? ??? ? ???? ?????? ?? ??? ?????? ????? ? ?????? ?????? ???? #???????_????????????,"Jan 2, 2024 · 8:20 AM UTC",2,2,0,89,['https://pbs.twimg.com/media/GC0tQ42W8AAWQ6Y.jpg']
447,https://twitter.com/RONBupdates/status/1742084726578729377#m,Wow... Around 5 lakhs tourists are expected to have visited Street Festival in Pokhara on the occasion of New Year 2024. ??,"Jan 2, 2024 · 7:25 AM UTC",4,2,0,183,['https://pbs.twimg.com/media/GC0g0mgbAAEYGXj.jpg']
448,https://twitter.com/RONBupdates/status/1742072522802356382#m,Around 30 People have died and thousands are affected after a huge 7.6 Earthquake struck Japan on New Year Yesterday. #PrayForJapan ??,"Jan 2, 2024 · 6:37 AM UTC",1,3,0,121,['https://pbs.twimg.com/media/GC0VuS5bEAE_6gA.jpg']
449,https://twitter.com/RONBupdates/status/1742061883149181057#m,Bal Bibah (????????) vayeko information/Suraki diney lai Pyuthan ko Airawati Gaupalika le NRs. 25000 Cash Prize diney vayeko cha. ??,"Jan 2, 2024 · 5:54 AM UTC",3,1,1,52,[]
450,https://twitter.com/RONBupdates/status/1742037647651197013#m,???? ???? ?? ??????? ??????? ?? ??? ????? ?? ??,"Jan 2, 2024 · 4:18 AM UTC",13,1,11,131,['https://pbs.twimg.com/media/GCz1-zHaUAAzyPE.jpg']
451,https://twitter.com/RONBupdates/status/1742029361568678360#m,"MP Gyanendra Shahi says, ""??????? ????? ???? ?????? ???? ??, ?????? ??????? ?????? ???? ????????????, ?????? ????, ?????, ??????? ?????? ????? ????????????? ?? ????? ??????? ???? ? ?? ?? ???? ????? ???? ???????? ????? ????????? ??????? ???? ???? ????? ?????? ??, ???? ??? ?????????? ?????? ?????? ??????? ????? ??????? ?????"" ??","Jan 2, 2024 · 3:45 AM UTC",11,19,9,286,['https://pbs.twimg.com/media/GCzud5KXUAAgy6s.jpg']
452,https://twitter.com/RONBupdates/status/1742021281917411691#m,"?????? ?????????? ????????? ?????? ?? ????? ???????: Sandeep Lamichhane will not be able to play from the Nepal National Cricket team as he is found guilty in his case, according to Officials of CAN.","Jan 2, 2024 · 3:13 AM UTC",40,12,16,418,['https://pbs.twimg.com/media/GCznHm0aYAAaX52.jpg']
453,https://twitter.com/RONBupdates/status/1742011651904119171#m,Next year 2081 B.S. ko Dashain Tika Ashoj 26 ma pareko cha! ??,"Jan 2, 2024 · 2:35 AM UTC",8,4,8,124,[]
454,https://twitter.com/RONBupdates/status/1742007690451157339#m,????????? ???: Hindi biographical movie '12th fail' is currently in trending and getting huge appreciation from the audience as the movie is filled with emotions like love and how struggles in life lead towards achieving our goals. ??,"Jan 2, 2024 · 2:19 AM UTC",11,13,2,344,['https://pbs.twimg.com/media/GCzawfdW0AArAe4.jpg']
455,https://twitter.com/RONBupdates/status/1742007220030628133#m,Wow... Popular YouTuber MrBeast's team was in Nepal for a 'Secret Mission' & they also visited the Everest Base Camp. ??,"Jan 2, 2024 · 2:17 AM UTC",9,23,7,690,['https://pbs.twimg.com/media/GCzaVJ4X0AI_Dan.jpg']
456,https://twitter.com/RONBupdates/status/1741992250555646407#m,Tuesday Morning & Statue of Lord Ganesh at Nawalparasi East. ????  Pic. Aashik Khadka,"Jan 2, 2024 · 1:18 AM UTC",2,13,0,417,['https://pbs.twimg.com/media/GCzMtq2WgAAbUxA.jpg']
457,https://twitter.com/RONBupdates/status/1741860222640197793#m,"???? ????,?????? ???? ??? ???? ????? ???????? ??? ???? ?????????","Jan 1, 2024 · 4:33 PM UTC",6,8,1,145,[]
458,https://twitter.com/RONBupdates/status/1741852442273419694#m,"??? ???? : ???? ????? ??? ???? ???? ?????? ?????? ???????? (Orion constellation) ?? ????? ?????? ??????? ???? ?????? ???????? (Orion Nebula). ?????? ???????? ?????? ????????? ???????? ?????? ? ?????? ????? ????? ????? ???????? ??????? ???????? ?? ? ??????? ?????? ????? ????? ???????? ????? ?????? ???? ???? ????? ?? ? ????????? ????????? ???????? ??????? ‘??????’ ‘??????’ ? ‘???????’ ???? ? ???? ????????? ????? ????????? ?????? ??????? ???? ‘???????’, ?????? ??? ‘???????????’, ?? ?????? ?????? ??? ??????? ???? ‘?????’ ? ?? ?????? ??? ‘???’ ????? ? ?  Pic. Mithun Kunwar","Jan 1, 2024 · 4:02 PM UTC",2,3,0,125,['https://pbs.twimg.com/media/GCxNjyQXwAAsF2e.jpg']
459,https://twitter.com/RONBupdates/status/1741852408307991025#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 1, 2024 · 4:02 PM UTC",1,1,0,47,['https://pbs.twimg.com/media/GCxNhvuX0AAQ_EC.jpg']
460,https://twitter.com/RONBupdates/status/1741840614239711592#m,"Nepali Topi Day Special: ?????? ???? ?????? ?????? ?????? ??????? ???? ???? ??????? ???????, ????? ???????? ??????? ?? ??","Jan 1, 2024 · 3:15 PM UTC",3,5,0,103,['https://pbs.twimg.com/media/GCxCzWBbIAA2Rk1.jpg']
461,https://twitter.com/RONBupdates/status/1741834005291639284#m,"Trending Now: Everyone is talking about recently released Movie ""12th Fail"". Did you watch it? How was it?","Jan 1, 2024 · 2:49 PM UTC",80,30,19,1278,['https://pbs.twimg.com/media/GCw8ylTaAAAIb0c.jpg']
462,https://twitter.com/RONBupdates/status/1741822200519544908#m,Relief for People born on 29th february as 2024 is leap year and their birthday fall this year. ??,"Jan 1, 2024 · 2:02 PM UTC",3,2,1,91,[]
463,https://twitter.com/RONBupdates/status/1741813068219486491#m,?????? ?????? ????? ?? ????? ?????? ????? ?? ???? ??????? ????? ????? ?????: First Monday of 2024 & Sandhya Aarati at Pashupati Temple. ????   Pic. Aashik Khadka,"Jan 1, 2024 · 1:26 PM UTC",3,16,0,437,['https://pbs.twimg.com/media/GCwpv5ya8AA0YYO.jpg']
464,https://twitter.com/RONBupdates/status/1741804059705905436#m,"Australian Cricketer David Warner has announced his retirement from ODI Format. However he has hinted he may be available for upcoming Champion Trophy saying, “If I’m playing decent cricket in two years’ time and I’m around and they need someone, I’m going to be available.” ??","Jan 1, 2024 · 12:50 PM UTC",1,2,0,105,['https://pbs.twimg.com/media/GCwhjmwbQAAAw8A.jpg']
465,https://twitter.com/RONBupdates/status/1741797173090718162#m,????? ??????? ????????? ?????? ?????? ???? ?????? ???????? ?/? ?????? ??????? ????? ??????? ?????? ?????? ?????? ????? ? ?,"Jan 1, 2024 · 12:23 PM UTC",10,4,1,176,['https://pbs.twimg.com/media/GCwbSuIbsAALY07.jpg']
466,https://twitter.com/RONBupdates/status/1741778296315240562#m,Sad News: ?????? ????????? ?? ???? ?????? ???????? ???? ?????? ? ??? ???? ???? ???????? ????????? ???????? ?? ??  Representative Pic.,"Jan 1, 2024 · 11:08 AM UTC",2,0,0,78,['https://pbs.twimg.com/media/GCwKIA1bcAA4lWh.jpg']
467,https://twitter.com/RONBupdates/status/1741768344532029642#m,Pencil Sketch of Legendary footballer Cristiano Ronaldo by Aryan Khadka. ??,"Jan 1, 2024 · 10:28 AM UTC",5,5,1,207,['https://pbs.twimg.com/media/GCwBEq5aMAA2y6U.jpg']
468,https://twitter.com/RONBupdates/status/1741742769390199193#m,?????? ?????? ???: New Year & Beautiful view of Fog covered Dharan as seen from ?????? ????? !   Pic. Pratit Chamling Rai,"Jan 1, 2024 · 8:46 AM UTC",2,4,1,120,['https://pbs.twimg.com/media/GCvpz_eW0AAp-nb.jpg']
469,https://twitter.com/RONBupdates/status/1741727655588958582#m,??????? ???? ??????: An earthquake of magnitude 7.6 occurred in North Central Japan as per Int'l Media. More details to follow....,"Jan 1, 2024 · 7:46 AM UTC",6,1,1,129,[]
470,https://twitter.com/RONBupdates/status/1741713520897802528#m,Winter Season & Rhino at Sun Bath: ????? ??????? ??????????? ????? ??? ????????? ???????? ????? ? ??  Pic. Prakash Bhandari,"Jan 1, 2024 · 6:50 AM UTC",2,5,0,258,['https://pbs.twimg.com/media/GCvPNjWW0AA7zgq.jpg']
471,https://twitter.com/RONBupdates/status/1741700543196934508#m,"??????????? ???? ?????? ?? ????? ??????????: Tek Bahadur Shah, father of Birendra Shah who died in the recent protest has come to Kathmandu to see his son for the last time. He says, ""?????? ???? ??????? ?????? ????? ???? ???? ?????? ????? ??? ???? ????????? ????????? ????? ????? ?????? ?? ????? ??? ???? ? ??????????? ?? ???? ????????? ???? ????? ? ??????? ????? ????  ?????? ?????? ??? ??????????""","Jan 1, 2024 · 5:59 AM UTC",5,4,0,93,['https://pbs.twimg.com/media/GCvDaGOWwAASqSI.jpg']
472,https://twitter.com/RONBupdates/status/1741676018275074168#m,"????? ????? ??????, ????? ??????? ??????: The first ray of the Sun 2024, touches the Mt. Fishtail. ??  Pic. Khim Lamichhane Kazi","Jan 1, 2024 · 4:21 AM UTC",2,16,0,312,['https://pbs.twimg.com/media/GCutGodWEAADLyN.jpg']
473,https://twitter.com/RONBupdates/status/1741668900713254998#m,??? ???? ??? ??? ?????? ???: Sujan Raut who lost his life in the protest at such a young age of 23. The mother doesn't know about her son's death and is told that he is in ICU to prevent her from mental shock. A family lost their pillar of hope and happiness who wanted to go to South Korea to support them for the future.,"Jan 1, 2024 · 3:53 AM UTC",4,8,0,136,['https://pbs.twimg.com/media/GCumoN2aQAAJWDi.jpg']
